id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra
1,SIMPLE,a,NULL,index,offering_inst_fk,offering_inst_fk,5,NULL,5,20.00,"Using where; Using index"
1,SIMPLE,b,NULL,eq_ref,PRIMARY,PRIMARY,4,StudentCourse.a.instID,1,100.00,NULL
