id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra
1,SIMPLE,a,NULL,ref,"offering_inst_fk,ix_termcode",ix_termcode,2,const,4,100.00,NULL
1,SIMPLE,b,NULL,ALL,PRIMARY,NULL,NULL,NULL,4,25.00,"Using where; Using join buffer (Block Nested Loop)"
